,제목,저자,출판사,출판일
0,"Future Trends of AI-based Smart Systems and Services: Challenges, Opportunities, and Solutions",이대원,한국정보처리학회,2019
1,"Future Trends of AI-Based Smart Systems and Services: Challenges, Opportunities, and Solutions","Lee, Daewon",Korea Information Processing Society,2019
2,Consciousness and Intentionality in AI and the imago Dei,Michael Jin Choi(최진),한국신학정보연구원,2016
3,A Study on the Use of AI-based Learning Programs by EFL Students  with Different Types of Teacher Support,김혜숙,한국영어학회,2022
4,Influence of hCG Administration after AI on Conception Rates and Serum Progesterone Concentration in Dairy Cattle,Hyun-Joo Lim,한국동물생명공학회(구 한국동물번식학회),2018
5,Vessel traffic geometric probability approaches with AIS data in active shipping lane for subsea pipeline quantitative risk assessment against third-party impact,"Tanujaya, Vincent Alvin",Techno-Press,2022
6,A Survey on Microservices Use Cases for AI based Application on Hybrid Cloud,Sangwon Oh,한국디지털콘텐츠학회,2022
7,"Future Trends of IoT, 5G Mobile Networks, and AI: Challenges, Opportunities, and Solutions",박지수,한국정보처리학회,2020
8,Association Study between the Genetic Variations of the Apo AI-CIII-AIV Gene Cluster and Hypertension among Korean,강병용,한국독성학회,2002
9,Childcare Practitioners’ Experiences with an Evaluation Approach Based on Appreciative Inquiry (AI) for Autonomous Changes,이진희,한국유아교육학회,2017
10,Feature Analysis for Detecting Mobile Application Review Generated by AI-Based Language Model,이승철,한국정보처리학회,2022
11,A Study on the Development of AI-based Assessment Model for English Speaking Skills in Primary School,송은주,한국영어평가학회,2020
12,AI-based Regression Analysis for Optimizing the Performance of Robot Manipulator Trajectory Tracking,Chenwei Sun,제어로봇시스템학회,2021
13,AI-Based Dental Prostheses Fabrication Using Generative Adversarial Networks,Hyun Lee,계명대학교 자연과학연구소,2021
14,A Study on Building Training Datasets for AI/ML/NLP based Forecast Support Solution,Inkyung Kim,한국기상학회,2022
15,Evaluations of AI-based malicious PowerShell detection with feature optimizations,"Song, Jihyeon",Electronics and Telecommunications Research Institute,2021
16,"Update on the NSF AI Institute for Research on Trustworthy AI in Weather, Climate, and Coastal Oceanography (AI2ES)",Amy Mcgovern,한국기상학회,2022
17,Security methods for AI based COVID-19 analysis system : A survey,Samaneh Shamshiri,한국통신학회,2022
18,On Modeling and Simulation of AI-based IoT,Mitra Pooyandeh,한국통신학회,2021
19,The functionalities of cloud management system in support managing AI/ML-based solutions,Young Han Kim,한국통신학회,2022
20,THE INFLUENCE OF CONSUMPTION GOALS ON AI-DRIVEN RECOMMENDATION AGENT VALUE OF STITCH FIX,Juran Kim,글로벌지식마케팅경영학회,2019
21,A FRAMEWORK OF EMOTIONAL VALUE CO-CREATION IN AI-BASED CONCIERGE SERVICES FOR TOURISTS,Siddike Md Abul Kalam,글로벌지식마케팅경영학회,2020
22,AI Generating and Detecting Manipulated Online Customers Reviews,Chernyaeva O.,한국지능정보시스템학회,2022
23,HOW PARASOCIAL BRAND EXPERIENCE AFFECTS BRAND EQUITY IN SOCIAL COMMERCE: THE ROLE OF AI-BASED DIGITAL SHOPPING ASSISTANT,Chunlin Yuan,글로벌지식마케팅경영학회,2020
24,Design of AI-based Condition Monitoring and RUL Prediction System for Wind Turbines,Minh-Chau Dinh(딘민차우),한국태양에너지학회,2022
25,Can AI Design Products?: AI-based Generative Design,Namwoo Kang,한국산업경영시스템학회,2022
26,IBN-based: AI-driven Multi-Domain e2e Network Orchestration Approach,Talha Ahmed Khan,한국통신학회,2020
27,Development of AI-based Prediction and Assessment Program for Tunnelling Impact,"Yoo, Chungsik",Korean Geosynthetics Society,2019
28,Acomparative analysis of user experience of fashion consumers with different shopping orientations when using an AI-based fashion service,Jeongmin Kim,한국디자인학회,2020
29,Development of AI-Based Water Pipe Aging Condition Evaluation Algorithm,김기태,한국콘텐츠학회,2022
30,Development of AI-based Prediction and Assessment Program for Tunnelling Impact,유충식,한국지반신소재학회,2019
31,Literature survey on AI-based air traffic flow prediction,Joshua Julian Damanik,대한교통학회,2021
32,Lifetime Evaluation of AI-Fe Coating in Wet-seal Environment of MCFC,"Jun, JaeHo",The Corrosion Science Society of Korea,2004
33,The Impact Collapse Characteristics of AI/CFRP Members by fiber orientation angle,"Park, Sang-Guk",朝鮮大學校 機械技術硏究所,2005
34,DO YOU TRUST AI? THE EFFECT OF AI PERSONALIZATION ON ADVERTISEMENTS,Jungkeun Kim,글로벌지식마케팅경영학회,2020
35,Dynamic Network Provisioning with AI-enabled Path Planning,Hong-Nam Quach,한국통신학회,2020
36,Optimization process parameters of Selective Laser Melting by AI-based technology,H. S. Park(박홍석),한국생산제조학회,2018
37,"Structure, Optical and Electrical Properties of AI-doped ZnO Thin Film Grown in Hydrogen-Incorporated Sputtering Gas","Kim, Kyoo-Ho",한국신재생에너지학회,2005
38,Enhanced Bioethanol Production by Zymomonas mobilis in Response to the Quorum-sensing Molecule AI-2,Yuri PARK,한국생물공학회,2014
39,Corrigendum: Artificial Intelligence for Breast Cancer Screening in Mammography (AI-STREAM): A Prospective Multicenter Study Design in Korea Using AI-Based CADe/x,장윤우,한국유방암학회,2022
40,Echocardiographic evaluation of USAF pilots with Aortic Insufficiency (AI) : Is the flying of High Performance Aircraft(HPA) detrimental to pilots with AI?,Ki-young Chung,한국항공우주의학협회,2000
41,A study on kinematic changes in treadmill walking using AI-based overground walking controller,정민기,대한기계학회,2021
42,AI-based Pavement Distress Evaluation and Network-Level Pavement Management Considering Homogenized Sections,Thai Son Tran,한국도로학회,2022
43,AI-enabled Smart Search and Local Economy : Evidence from Restaurant Business,Gunwoong Lee,한국경영정보학회,2019
44,AI-Based Pavement Distress Evaluation and Network-Level Pavement Management Considering Homogenized Sections,Thai Son Tran,한국도로학회,2022
45,AI-based translation scoring system for college students' online translations,Yan Tian,한국외국어대학교 통번역연구소,2019
46,AI-based Irrigation Control and Pest/Disease Prediction for Open-field Pineapple Farm,Amarpreet Singh Arora,한국원예학회,2022
47,AI-assisted Wearable Cardiovascular Monitoring and Its Application in Rehabilitation,Chenxi Yang(?晨熙),한국재활복지공학회,2020
