,title,description
0,"“<b>코로나</b> 백신, 고위험군 年2회 접종을”","지영미 질병관리청장이 앞으로 “신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 백신을 연 1, 2회 정례적으로 접종하는 것이 합리적이다”라고 밝혔다. <b>코로나</b>19가 팬데믹(대유행)에서 엔데믹(풍토병화)으로 전환되면서... "
1,"방역당국 &quot;<b>코로나</b>백신 정례접종, 변이예측·백신개발 보며 검토&quot;","방역 당국이 <b>코로나</b>19 백신의 정례접종 도입을 검토할 때 변이 예측, 백신 개발 상황 등을 고려할 것이라고 밝혔다. 임숙영 중앙방역대책본부(방대본) 상황총괄단장은 8일 브리핑에서 &quot;정례적인 접종이 추진되기 위해서는... "
2,방역당국 &quot;<b>코로나</b> 백신 연 1~2회 정기접종 검토 중&quot;,방역당국이 <b>코로나</b>19 변이 예측과 백신 개발 상황 등을 고려해 백신 정례 접종을 검토하겠다고 밝혔습니다.... 앞서 지영미 질병관리청장은 전날 취임 후 첫 기자간담회에서 연 1~2회 <b>코로나</b>19 백신 정례 접종을 언급한 바... 
3,폐업신고 않고 매출실적 낮춰 <b>코로나</b> 지원금 ‘꿀꺽’,"특히 <b>코로나</b>19 소상공인 지원금 부정수급 신고 관련 상담이 1년 전보다 6배 급증했다. 국민권익위원회는... <b>코로나</b>19 소상공인 지원금 부정수급 신고 관련 상담은 236건으로, 1년 전(39건)보다 6배 늘었다. 권익위 관계자는... "
4,"&apos;<b>코로나</b> 수혜&apos; 줌, 직원 1300명 감원 발표",<b>코로나</b>19 팬데믹 대표 수혜 기업 중 하나인 화상회의 업체 줌 비디오 커뮤니케이션이 7일(현지시간)... 에릭 위안 줌 최고경영자(CEO)는 블로그를 통해 &quot;<b>코로나</b> 대유행 이후 세계가 계속 삶에 적응함에 따라 회사는... 
5,<b>코로나</b> 신규 확진자 1만7934명… 위중증 283명·사망 22명,"질병관리청 중앙방역대책본부부는 8일 0시 기준 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 신규 확진자가 1만7934명 발생했다고 밝혔다. 전날(1만6120명)보다 1814명 늘었다. 신규 확진자는 국내 발생 1만7896명, 해외... "
6,<b>코로나</b>19 소상공인 지원금 &apos;부정수급&apos; 상담 5배 폭증,특히 <b>코로나</b>19 소상공인 지원금 부정수급 상담은 1년 전보다 약 5배 급증했다. 국민권익위원회는 지난해... 특히 <b>코로나</b>19 소상공인 지원금 부정수급 상담은 2021년(39건) 대비 5배 가까이 증가했다. 주로 방역지원금 및... 
7,"롯데쇼핑, 지난해 영업익 89.9%↑…&quot;<b>코로나</b>19 이전 수준 회복&quot;(상보)",롯데쇼핑이 지난해 <b>코로나</b>19 이전 수준으로 매출을 끌어올렸다. 백화점과 마트 등 주요 사업부들의... 백화점 매출액이 3조를 넘은 것은 <b>코로나</b>19 이전인 2019년 이후 3년 만이다. 명품군을 중심으로 전 상품군이 고른... 
8,<b>코로나</b> 확진자 6주째 감소…중대본 &quot;개학 대비 방역관리 만전&quot;,<b>코로나</b>19 7차 유행이 눈에 띄게 잦아들고 있다는 정부 평가가 나왔다. 박민수 중앙재난안전대책본부... 정부는 국내외 상황이 안정적으로 유지되고 있는 만큼 <b>코로나</b> 극복에 끝까지 힘을 모아달라고 당부했다. 박민수... 
9,&apos;<b>코로나</b> 끝물&apos; 달라진 채용시장…대한항공·코레일 늘고 쿠팡 5000명 줄어,유통 업종은 <b>코로나</b> 여파로 인한 수익성 악화 등으로 인원 감축 등 구조조정을 했다. 은행과 보험 업종은 디지털금융 전환으로 지점망이 줄고 희망퇴직 등 여파로 고용 인원이 감소했다. 쿠팡 감소 폭이... 
10,<b>코로나</b>로 유통업계 &apos;칼바람&apos;…작년 쿠팡 순고용 4천903명 줄었다,"작년 <b>코로나</b> 팬데믹에 따른 소비 부진과 언택트 근무 등의 여파로 쿠팡을 비롯한 유통과 금융... 유통 업종은 <b>코로나</b> 여파로 인한 수익성 악화 등으로 인원 감축을 비롯한 구조조정을 단행했고, 은행과 보험... "
11,질병청장 &quot;중국 비자제한 조기해제 검토…<b>코로나</b> 정기접종 추진&quot;,"한달간 <b>코로나</b>19 치명률, 독감과 비슷한 0.08%까지 감소&quot; (청주=연합뉴스) 김영신 기자 = 지영미 질병관리청장은 7일 중국 내 <b>코로나</b>19 유행 상황이 안정·감소세로 돌아섰다고 판단한다며 중국발 입국자 검사 의무를 당초... "
12,<b>코로나</b> 위험 3주째 &apos;낮음&apos;…&apos;우세종&apos; BN.1 검출률 56.9%,6% [서울=뉴시스]권지원 기자 = 2월 1주 차 <b>코로나</b>19 신규 확진자 수는 전주 대비 20% 하락하면서 3주 연속 &apos;낮음&apos; 단계의 위험도를 유지했다. <b>코로나</b>19 오미크론 BN.1 변이 바이러스의 국내 검출률은 56.9%로... 
13,훨훨 날았던 줌…<b>코로나</b> 끝물에 1300명 해고 발표,<b>코로나</b>19 사태 속에서 비대면 화상회의로 ‘반짝 특수’를 누렸던 줌(Zoom)이 감염 끝물에 대규모 감원을... 줌은 <b>코로나</b>19 사태로 사회적 거리두기가 시행된 2020년초부터 큰 인기를 끌었다. 2020년 3월에는 하루 최대... 
14,"전남도, 13일부터 영유아 <b>코로나</b>19 백신접종…3만6천명 대상",4세 이하 영유아는 <b>코로나</b>19 확진 시 5~19세에 비해 사망률이 높고 17세 이하 확진자 입원율 1.21%의 절반을... <b>코로나</b>19 예방접종 누리집(http://ncvr.kdca.go.kr)에서 확인할 수 있다. 현재 사전 예약을 진행 중인 가운데... 
15,방역당국 “<b>코로나</b> 확진자 6주 연속 감소…국내·외 상황 안정적”,"국내 <b>코로나</b>19 신규 확진자 수가 6주 연속으로 감소하고 있고, 중국발 확진자 유입 규모도 크지 않다고 밝혔다. 국내·외 상황이 안정적으로 유지되고 있다는 설명이다. 박민수 보건복지부 제2차관(<b>코로나</b>19... "
16,"&quot;<b>코로나</b>19, 긴 터널 속 빛 봤다&quot; 신세계, 작년 영업익 역대 &apos;최대&apos;(종합)","7%↑)…당기순이익 5050억원 신세계인터내셔날, 센트럴시티 등 자회사 성장세 [서울=뉴시스] 이혜원 기자 = 신세계가 <b>코로나</b>19를 기점으로 폭발적인 성장을 보였다. <b>코로나</b>19가 한창일 때는 명품 특수로 성장을... "
